"trial_type","trial_number","key_pressed","correctness","RT","picture","key1","key2","f","j","expected","Mapping","startDate","startTime","age","gender","handedness","education","languages","comments","endTime","timeSpent","experiment_id",
"practice","1","f","correct","3063","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","2","f","correct","3123","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","3","j","correct","2911","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","4","f","correct","2828","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","5","j","correct","2978","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","6","f","correct","2927","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","7","j","correct","2947","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","8","j","correct","2891","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","9","j","correct","2907","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"practice","10","f","correct","3041","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"main","1","f","correct","3100","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"main","2","f","correct","2949","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"main","3","j","correct","2968","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"main","4","j","correct","2999","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
"main","5","f","correct","2952","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:21:40 GMT+0200 (Central European Summer Time)","1595355700939","21","male","right","Graduated High School","German","WHUAS GUUUUUUUUD","1595356299455","9.975266666666666","INSERT_A_NUMBER",
